bundle,family,left_model,left_stage,right_model,right_stage,n_aligned,resample_unit,point_hard_state_agreement,n_blocks,bootstrap_replicates,ci_low_2p5,bootstrap_median,ci_high_97p5,bootstrap_mean,bootstrap_std,block_min,block_max
pipeline,parity,gpu_cthmm,01_cthmm,cnn_gru,02_cnn_gru_independent,701480,contiguous_blocks,0.6421066887152876,343,200,0.5965828853862973,0.6402947339650146,0.6840020983281706,0.6398920941144314,0.02511332343272742,0.013671875,1.0
pipeline,parity,gpu_cthmm,01_cthmm,cnn_gru,03_cnn_gru_teacher_assisted,701480,contiguous_blocks,0.9139448024177453,343,200,0.9076375800040999,0.9142874225583091,0.9213129783163265,0.9141788475993076,0.0035615846839521866,0.7255859375,1.0
pipeline,parity,gpu_cthmm,01_cthmm,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,70174,contiguous_blocks,0.9852366973522957,35,200,0.9496125512733922,0.9796248496804163,0.9945880998883929,0.9786794267572977,0.010496577406573546,0.6457564575645757,1.0
pipeline,parity,gpu_cthmm,01_cthmm,dmm,05_dmm,701480,contiguous_blocks,0.9940711068027599,343,200,0.9932394756172558,0.9940103692146501,0.9947566708044825,0.9940135722257654,0.0003603750165697527,0.966796875,1.0
pipeline,parity,cnn_gru,02_cnn_gru_independent,cnn_gru,03_cnn_gru_teacher_assisted,701480,contiguous_blocks,0.6320137423732679,343,200,0.5892873513802843,0.6313768392401604,0.6738512934470664,0.6317857925815415,0.02188300848581902,0.04150390625,1.0
pipeline,parity,cnn_gru,02_cnn_gru_independent,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,70174,contiguous_blocks,0.6314731952005016,35,200,0.48473876953125,0.6342495706625593,0.7879350053126647,0.6339510305642955,0.07883661795853623,0.0,1.0
pipeline,parity,cnn_gru,02_cnn_gru_independent,dmm,05_dmm,701480,contiguous_blocks,0.6369162342475908,343,200,0.5980845993531341,0.6411410406796647,0.6857699469296646,0.6411957623451167,0.024538362642636407,0.0,1.0
pipeline,parity,cnn_gru,03_cnn_gru_teacher_assisted,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,70174,contiguous_blocks,0.9082708695528259,35,200,0.8784250239893581,0.9032855639661307,0.9268972236178834,0.9025987221291019,0.012574385551721629,0.6457564575645757,1.0
pipeline,parity,cnn_gru,03_cnn_gru_teacher_assisted,dmm,05_dmm,701480,contiguous_blocks,0.9190867879340823,343,200,0.9133798671533345,0.9189403300382653,0.9258715393244351,0.919073888483965,0.0031739970175531044,0.73828125,1.0
pipeline,parity,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,dmm,05_dmm,70174,contiguous_blocks,0.988685268047995,35,200,0.9529703600154027,0.9845005580357142,0.9979087611607144,0.9823532206485569,0.010899979209026672,0.6457564575645757,1.0
pipeline,x_loop,gpu_cthmm,01_cthmm,cnn_gru,02_cnn_gru_independent,186000,contiguous_blocks,0.5088870967741935,91,200,0.4674920702205161,0.509652868058281,0.5546895006500198,0.5108402607437206,0.021378063181742152,0.03076171875,0.81201171875
pipeline,x_loop,gpu_cthmm,01_cthmm,cnn_gru,03_cnn_gru_teacher_assisted,186000,contiguous_blocks,0.8167365591397849,91,200,0.8078217047786663,0.8175497888458269,0.8274786405698097,0.8173131704604919,0.004988768791239356,0.708984375,0.96435546875
pipeline,x_loop,gpu_cthmm,01_cthmm,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,18600,contiguous_blocks,0.7944086021505377,10,200,0.7434807477678571,0.7869907924107142,0.8364174107142858,0.7872078334263393,0.021566434552264376,0.6396484375,0.91796875
pipeline,x_loop,gpu_cthmm,01_cthmm,dmm,05_dmm,186000,contiguous_blocks,0.4911559139784946,91,200,0.45245462127158553,0.4929978015845762,0.5312409549156201,0.49240108203738225,0.02044309928815256,0.18798828125,0.96923828125
pipeline,x_loop,cnn_gru,02_cnn_gru_independent,cnn_gru,03_cnn_gru_teacher_assisted,186000,contiguous_blocks,0.4788924731182796,91,200,0.4334008750735871,0.4788979714481947,0.5212003325218308,0.47813690041822016,0.021118038291800822,0.0146484375,0.75732421875
pipeline,x_loop,cnn_gru,02_cnn_gru_independent,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,18600,contiguous_blocks,0.29806451612903223,10,200,0.19829293387276786,0.3183140345982143,0.4013185337611608,0.31029997907366075,0.05340847771579983,0.01513671875,0.521484375
pipeline,x_loop,cnn_gru,02_cnn_gru_independent,dmm,05_dmm,186000,contiguous_blocks,0.00045161290322580643,91,200,0.0002411894745879121,0.0004453554258241758,0.0007258488581730773,0.0004586087740384616,0.00013117612611897563,0.0,0.0068359375
pipeline,x_loop,cnn_gru,03_cnn_gru_teacher_assisted,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,18600,contiguous_blocks,0.7875806451612903,10,200,0.74630859375,0.7880452473958333,0.8270951334635417,0.7886886393229166,0.022685012236507096,0.66845703125,0.9384765625
pipeline,x_loop,cnn_gru,03_cnn_gru_teacher_assisted,dmm,05_dmm,186000,contiguous_blocks,0.5210430107526882,91,200,0.47895905259639915,0.5205846957172292,0.5667023040436125,0.5210570790816327,0.023267881463938107,0.24267578125,0.9892578125
pipeline,x_loop,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,dmm,05_dmm,18600,contiguous_blocks,0.7022043010752688,10,200,0.6138253348214285,0.68994140625,0.7926602608816965,0.6902357003348214,0.04682245197453021,0.478515625,0.9873046875
pipeline,z_loop,gpu_cthmm,01_cthmm,cnn_gru,02_cnn_gru_independent,15015,contiguous_blocks,0.626906426906427,8,200,0.602406753742291,0.6295126464124632,0.6606901862659932,0.6287967602107591,0.015478964842584627,0.56787109375,0.685546875
pipeline,z_loop,gpu_cthmm,01_cthmm,cnn_gru,03_cnn_gru_teacher_assisted,15015,contiguous_blocks,0.7736929736929737,8,200,0.7587276475594567,0.7724418808680045,0.7872574189625713,0.7726066933183853,0.007878524692899357,0.74658203125,0.82080078125
pipeline,z_loop,gpu_cthmm,01_cthmm,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,1505,contiguous_blocks,0.9661129568106313,1,0,0.9661129568106313,0.9661129568106313,0.9661129568106313,0.9661129568106313,0.0,,
pipeline,z_loop,gpu_cthmm,01_cthmm,dmm,05_dmm,15015,contiguous_blocks,0.8185148185148186,8,200,0.807537841796875,0.8185162775997561,0.8321211532570301,0.8190357254320461,0.006338412593803189,0.79931640625,0.85791015625
pipeline,z_loop,cnn_gru,02_cnn_gru_independent,cnn_gru,03_cnn_gru_teacher_assisted,15015,contiguous_blocks,0.5024975024975025,8,200,0.4776434874499494,0.5013803923077366,0.526312255859375,0.5016001957259929,0.012591989558709769,0.45556640625,0.56494140625
pipeline,z_loop,cnn_gru,02_cnn_gru_independent,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,1505,contiguous_blocks,0.6883720930232559,1,0,0.6883720930232559,0.6883720930232559,0.6883720930232559,0.6883720930232559,0.0,,
pipeline,z_loop,cnn_gru,02_cnn_gru_independent,dmm,05_dmm,15015,contiguous_blocks,0.5598401598401599,8,200,0.5338254835890038,0.5652080642632777,0.5976509307726493,0.5651125990765083,0.01828556370267023,0.494140625,0.654296875
pipeline,z_loop,cnn_gru,03_cnn_gru_teacher_assisted,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,1505,contiguous_blocks,0.748172757475083,1,0,0.748172757475083,0.748172757475083,0.748172757475083,0.748172757475083,0.0,,
pipeline,z_loop,cnn_gru,03_cnn_gru_teacher_assisted,dmm,05_dmm,15015,contiguous_blocks,0.9144189144189144,8,200,0.8938628049240899,0.9106275870276832,0.9271255493164062,0.9102067941207774,0.008964670022019708,0.8586156111929307,0.95068359375
pipeline,z_loop,gpu_hsmm_duration,04_hsmm_using_cnn_embeddings,dmm,05_dmm,1505,contiguous_blocks,0.7867109634551495,1,0,0.7867109634551495,0.7867109634551495,0.7867109634551495,0.7867109634551495,0.0,,
individual,parity,gpu_cthmm,cthmm,gpu_hsmm_duration,hsmm,105220,contiguous_blocks,0.9852879680669074,52,200,0.9604181307157514,0.981555073610004,0.9927154541015625,0.9805543755857817,0.00825570421576253,0.6541450777202072,1.0
individual,x_loop,gpu_cthmm,cthmm,gpu_hsmm_duration,hsmm,27900,contiguous_blocks,0.8024372759856631,14,200,0.7616393550970179,0.8001002693090853,0.8309230259486607,0.7994993930924275,0.01880058118827982,0.62255859375,0.92529296875
individual,z_loop,gpu_cthmm,cthmm,gpu_hsmm_duration,hsmm,2254,contiguous_blocks,0.9614019520851819,2,200,0.941747572815534,0.952563239532767,0.96337890625,0.9527795528671116,0.008111115928826657,0.941747572815534,0.96337890625
