left_bundle,right_bundle,family,left_model,right_model,left_stage,right_stage,n_aligned,alignment,hard_state_agreement,left_source_file,right_source_file,js_divergence_bits,mean_l1_probability_distance,bundle
pipeline,pipeline,parity,gpu_cthmm,cnn_gru,01_cthmm,02_cnn_gru_independent,701480,sample_index,0.6421066887152876,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,0.30526150023396004,0.9875402632945754,pipeline
pipeline,pipeline,parity,gpu_cthmm,cnn_gru,01_cthmm,03_cnn_gru_teacher_assisted,701480,sample_index,0.9139448024177453,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.0796084698523619,0.24570883793270465,pipeline
pipeline,pipeline,parity,gpu_cthmm,gpu_hsmm_duration,01_cthmm,04_hsmm_using_cnn_embeddings,70174,sample_index,0.9852366973522957,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,parity,gpu_cthmm,dmm,01_cthmm,05_dmm,701480,sample_index,0.9940711068027599,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.004046764597761163,0.012396631895294294,pipeline
pipeline,pipeline,parity,cnn_gru,cnn_gru,02_cnn_gru_independent,03_cnn_gru_teacher_assisted,701480,sample_index,0.6320137423732679,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.2139123882694957,0.8283829190859606,pipeline
pipeline,pipeline,parity,cnn_gru,gpu_hsmm_duration,02_cnn_gru_independent,04_hsmm_using_cnn_embeddings,70174,sample_index,0.6314731952005016,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,parity,cnn_gru,dmm,02_cnn_gru_independent,05_dmm,701480,sample_index,0.6369162342475908,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.3079802718513135,0.992575487187884,pipeline
pipeline,pipeline,parity,cnn_gru,gpu_hsmm_duration,03_cnn_gru_teacher_assisted,04_hsmm_using_cnn_embeddings,70174,sample_index,0.9082708695528259,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,parity,cnn_gru,dmm,03_cnn_gru_teacher_assisted,05_dmm,701480,sample_index,0.9190867879340823,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.07626720032167747,0.23646433031011638,pipeline
pipeline,pipeline,parity,gpu_hsmm_duration,dmm,04_hsmm_using_cnn_embeddings,05_dmm,70174,sample_index,0.988685268047995,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,,,pipeline
pipeline,pipeline,x_loop,gpu_cthmm,cnn_gru,01_cthmm,02_cnn_gru_independent,186000,sample_index,0.5088870967741935,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.012960151319603149,0.21367493365136206,pipeline
pipeline,pipeline,x_loop,gpu_cthmm,cnn_gru,01_cthmm,03_cnn_gru_teacher_assisted,186000,sample_index,0.8167365591397849,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.003957242299900899,0.11561784825129534,pipeline
pipeline,pipeline,x_loop,gpu_cthmm,gpu_hsmm_duration,01_cthmm,04_hsmm_using_cnn_embeddings,18600,sample_index,0.7944086021505377,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,x_loop,gpu_cthmm,dmm,01_cthmm,05_dmm,186000,sample_index,0.4911559139784946,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.01309496554333828,0.21513949581107464,pipeline
pipeline,pipeline,x_loop,cnn_gru,cnn_gru,02_cnn_gru_independent,03_cnn_gru_teacher_assisted,186000,sample_index,0.4788924731182796,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,0.010090781606085921,0.1886551961353229,pipeline
pipeline,pipeline,x_loop,cnn_gru,gpu_hsmm_duration,02_cnn_gru_independent,04_hsmm_using_cnn_embeddings,18600,sample_index,0.29806451612903223,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,x_loop,cnn_gru,dmm,02_cnn_gru_independent,05_dmm,186000,sample_index,0.00045161290322580643,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.0002564957112833585,0.03704707522097454,pipeline
pipeline,pipeline,x_loop,cnn_gru,gpu_hsmm_duration,03_cnn_gru_teacher_assisted,04_hsmm_using_cnn_embeddings,18600,sample_index,0.7875806451612903,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,x_loop,cnn_gru,dmm,03_cnn_gru_teacher_assisted,05_dmm,186000,sample_index,0.5210430107526882,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,0.010224675770418938,0.18816201642724456,pipeline
pipeline,pipeline,x_loop,gpu_hsmm_duration,dmm,04_hsmm_using_cnn_embeddings,05_dmm,18600,sample_index,0.7022043010752688,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,,,pipeline
pipeline,pipeline,z_loop,gpu_cthmm,cnn_gru,01_cthmm,02_cnn_gru_independent,15015,sample_index,0.626906426906427,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,0.10802537554023536,0.616092915258854,pipeline
pipeline,pipeline,z_loop,gpu_cthmm,cnn_gru,01_cthmm,03_cnn_gru_teacher_assisted,15015,sample_index,0.7736929736929737,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,0.06904511922687569,0.40414854517992077,pipeline
pipeline,pipeline,z_loop,gpu_cthmm,gpu_hsmm_duration,01_cthmm,04_hsmm_using_cnn_embeddings,1505,sample_index,0.9661129568106313,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,z_loop,gpu_cthmm,dmm,01_cthmm,05_dmm,15015,sample_index,0.8185148185148186,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,0.06012468947761895,0.37533877171694774,pipeline
pipeline,pipeline,z_loop,cnn_gru,cnn_gru,02_cnn_gru_independent,03_cnn_gru_teacher_assisted,15015,sample_index,0.5024975024975025,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,0.05129153793330518,0.44988068310997303,pipeline
pipeline,pipeline,z_loop,cnn_gru,gpu_hsmm_duration,02_cnn_gru_independent,04_hsmm_using_cnn_embeddings,1505,sample_index,0.6883720930232559,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,z_loop,cnn_gru,dmm,02_cnn_gru_independent,05_dmm,15015,sample_index,0.5598401598401599,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,0.0365418385882047,0.35526759610091135,pipeline
pipeline,pipeline,z_loop,cnn_gru,gpu_hsmm_duration,03_cnn_gru_teacher_assisted,04_hsmm_using_cnn_embeddings,1505,sample_index,0.748172757475083,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,z_loop,cnn_gru,dmm,03_cnn_gru_teacher_assisted,05_dmm,15015,sample_index,0.9144189144189144,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,0.007794610396841494,0.14190410296648215,pipeline
pipeline,pipeline,z_loop,gpu_hsmm_duration,dmm,04_hsmm_using_cnn_embeddings,05_dmm,1505,sample_index,0.7867109634551495,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,,,pipeline
individual,individual,parity,gpu_cthmm,gpu_hsmm_duration,cthmm,hsmm,105220,sample_index,0.9852879680669074,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz,individual\individual\parity\hsmm\20260504_233338_hsmm_together_parity_run\hsmm_predictions.npz,,,individual
individual,individual,x_loop,gpu_cthmm,gpu_hsmm_duration,cthmm,hsmm,27900,sample_index,0.8024372759856631,individual\individual\x_loop\cthmm\20260505_014342_cthmm_together_x_loop_run\teacher_predictions.npz,individual\individual\x_loop\hsmm\20260505_015629_hsmm_together_x_loop_run\hsmm_predictions.npz,,,individual
individual,individual,z_loop,gpu_cthmm,gpu_hsmm_duration,cthmm,hsmm,2254,sample_index,0.9614019520851819,individual\individual\z_loop\cthmm\20260505_024243_cthmm_together_z_loop_run\teacher_predictions.npz,individual\individual\z_loop\hsmm\20260505_024835_hsmm_together_z_loop_run\hsmm_predictions.npz,,,individual
